region_id,commodity_id,as_of_date,row_number,commodity_name,specification,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8,market_9,market_10,market_11
050000000,6,"April 01, 2026",16,Lettuce (Romaine),,N/A,200.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",1,Ampalaya,4-5 PCS/KG,N/A,100.00,80.00,100.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",2,Squash,SUPREMA VARIETY,N/A,50.00,70.00,80.00,N/A,35.00,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",3,Pechay (Native),3-4 SMALL BUNDLES/KG,N/A,80.00,N/A,80.00,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",4,Sitao,3-4 SMALL BUNDLES/KG,N/A,160.00,120.00,160.00,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",5,Eggplant,3-4 SMALL BUNDLES/KG,N/A,100.00,80.00,100.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,7,"April 01, 2026",6,Tomato,15-18 PCS/KG,N/A,60.00,60.00,60.00,N/A,40.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",1,Beef Brisket,MEAT WITH BONES,N/A,N/A,380.00,N/A,N/A,350.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",2,Beef Rump,LEAN MEAT / TAPADERA,N/A,N/A,440.00,N/A,N/A,400.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",3,"Chicken Egg (White, Medium)",56-60 grams/pc,N/A,8.25,7.50,8.50,N/A,8.50,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",4,Pork Ham (Kasim),,N/A,330.00,330.00,320.00,N/A,320.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",5,Pork Belly (Liempo),,N/A,330.00,340.00,350.00,N/A,320.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",6,Whole Chicken,FULLY DRESSED,N/A,190.00,220.00,200.00,N/A,220.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",7,Frozen Kasim,KASIM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",8,Frozen Liempo,LIEMPO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",9,"Chicken Egg (White, Pewee)",41-45 grams/pc,N/A,7.00,6.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",10,"Chicken Egg (White, Extra Small)",46-50 grams/pc,N/A,N/A,N/A,N/A,N/A,7.50,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",11,"Chicken Egg (White, Small)",51-55 grams/pc,N/A,7.00,7.00,8.00,N/A,8.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",12,"Chicken Egg (White, Large)",61-65 grams/pc,N/A,9.00,8.00,9.00,N/A,9.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",13,"Chicken Egg (White, Extra Large)",66-70 grams/pc,N/A,N/A,8.50,10.00,N/A,10.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",14,"Chicken Egg (White, Jumbo)",71> grams/pc,N/A,N/A,9.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",15,"Chicken Egg (Brown, Medium)",Medium,N/A,N/A,N/A,N/A,N/A,12.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",16,"Chicken Egg (Brown, Large)",Large,N/A,N/A,N/A,N/A,N/A,16.00,N/A,N/A,N/A,N/A,N/A
050000000,8,"April 01, 2026",17,"Chicken Egg (Brown, Extra Large)",Extra Large,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",1,Garlic(Imported),KG,N/A,160.00,140.00,180.00,N/A,140.00,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",2,Garlic(Native),KG,N/A,N/A,N/A,160.00,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",3,Ginger,"FAIRLY WELL-MATURED, MEDIUM (150-300 GM)",N/A,160.00,140.00,200.00,N/A,100.00,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",4,Red Onion,13-15 PCS/KG,N/A,140.00,140.00,160.00,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",5,Red Onion (Imported),KG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",6,White Onion,KG,N/A,N/A,N/A,140.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",7,White Onion (Imported),KG,N/A,140.00,140.00,N/A,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,9,"April 01, 2026",8,Chili (Red),KG,N/A,200.00,200.00,N/A,N/A,140.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",1,Cooking Oil Palm 1L,1 LITER/BOTTLE,N/A,102.00,105.00,95.00,N/A,120.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",2,Cooking Oil Palm 350ML,350 ML/BOTTLE,N/A,34.00,35.00,34.00,N/A,60.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",3,Sugar (Brown),KG,N/A,68.00,70.00,72.00,N/A,65.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",4,Sugar (Washed),KG,N/A,72.00,75.00,82.00,N/A,70.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",5,Sugar (Refined),KG,N/A,85.00,80.00,N/A,N/A,80.00,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",6,Cooking Oil (Coconut) 350ML,350 ML/BOTTLE,N/A,N/A,60.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
050000000,10,"April 01, 2026",7,Cooking Oil (Coconut) 1L,1 LITER/BOTTLE,N/A,N/A,180.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
